Year,Measure Type,Leading 10 Ranking,Measure,Group,Subgroup,Estimate Type,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Reliable
2016,By primary diagnosis,,All diagnoses,Total,All visits,Visit count,145591209,8798097,128346939,162835479,Yes
2016,By primary diagnosis,,All diagnoses,Total,All visits,"Visit rate (per 1,000 people)",458,28,404,512,Yes
2016,By primary diagnosis,,All diagnoses,By sex,Female,Visit count,79594987,4802765,70181567,89008407,Yes
2016,By primary diagnosis,,All diagnoses,By sex,Female,"Visit rate (per 1,000 people)",490,29,433,547,Yes
2016,By primary diagnosis,,All diagnoses,By sex,Male,Visit count,65996222,4119214,57922563,74069882,Yes
2016,By primary diagnosis,,All diagnoses,By sex,Male,"Visit rate (per 1,000 people)",425,26,373,476,Yes
2016,By primary diagnosis,,All diagnoses,By age,0-17 years old,Visit count,32146242,2840371,26579114,37713369,Yes
2016,By primary diagnosis,,All diagnoses,By age,0-17 years old,"Visit rate (per 1,000 people)",437,39,362,513,Yes
2016,By primary diagnosis,,All diagnoses,By age,18-44 years old,Visit count,55977718,3436146,49242872,62712565,Yes
2016,By primary diagnosis,,All diagnoses,By age,18-44 years old,"Visit rate (per 1,000 people)",495,30,435,555,Yes
2016,By primary diagnosis,,All diagnoses,By age,45-64 years old,Visit count,34359290,2098909,30245428,38473153,Yes
2016,By primary diagnosis,,All diagnoses,By age,45-64 years old,"Visit rate (per 1,000 people)",412,25,362,461,Yes
2016,By primary diagnosis,,All diagnoses,By age,65+ years old,Visit count,23107959,1733772,19709765,26506152,Yes
2016,By primary diagnosis,,All diagnoses,By age,65+ years old,"Visit rate (per 1,000 people)",482,36,411,553,Yes
2016,By primary diagnosis,,All diagnoses,By race/ethnicity,Non-Hispanic White,Visit count,87289713,5616673,76281034,98298391,Yes
2016,By primary diagnosis,,All diagnoses,By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",448,29,392,503,Yes
2016,By primary diagnosis,,All diagnoses,By race/ethnicity,Non-Hispanic Black,Visit count,30687830,2894495,25014619,36361041,Yes
2016,By primary diagnosis,,All diagnoses,By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",789,74,644,933,Yes
2016,By primary diagnosis,,All diagnoses,By race/ethnicity,Hispanic,Visit count,22935618,2484466,18066064,27805171,Yes
2016,By primary diagnosis,,All diagnoses,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",404,43,319,489,Yes
2016,By primary diagnosis,,All diagnoses,By race/ethnicity,Non-Hispanic other,Visit count,4678048,622683,3457590,5898507,Yes
2016,By primary diagnosis,,All diagnoses,By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",172,23,127,216,Yes
